name,no,fk_city_id
Melvin,2,934
Oak Valley,740,530
South,3271,701
Hagan,1,963
Brentwood,047,634
Tomscot,16,562
Roth,7,618
Portage,20,34
Johnson,4,283
Mayfield,9185,47
Weeping Birch,1389,305
Waxwing,8,565
Golf,1,532
Briar Crest,83912,416
Old Gate,74980,391
Upham,18,458
East,149,461
Briar Crest,35910,204
Bunker Hill,7,37
Fairview,0901,598
Lukken,8937,237
Moulton,97,463
Vermont,00,838
Riverside,0753,349
Lillian,30218,804
Annamark,501,648
Bultman,09830,547
Claremont,95450,452
Judy,84785,702
Anderson,2,157
Basil,3,654
Lotheville,7,164
Sachtjen,30,450
Fair Oaks,258,424
Toban,9246,456
Prentice,247,17
Rusk,8471,567
Carey,44331,890
Nelson,651,537
Charing Cross,71,676
Northwestern,7984,9
Gale,684,139
Old Shore,2900,376
Melody,48599,467
Duke,19595,479
Transport,6605,619
Stone Corner,23,262
Declaration,42,927
Delladonna,97859,710
Algoma,246,777
8th,944,570
Merchant,889,158
Hagan,280,115
Waxwing,5273,910
Atwood,16,781
Melrose,70,280
Forster,3750,768
Sunnyside,0,433
Donald,8229,642
Elka,7401,966
Hollow Ridge,59486,812
North,39,249
Thompson,680,485
8th,59,868
Browning,5,552
Oneill,0581,707
Waywood,27,723
Warbler,31991,115
Anniversary,29,447
Mcbride,94,697
Farwell,4,562
John Wall,5,880
Fallview,162,603
Linden,661,336
American,7439,279
Express,13810,761
Comanche,6,434
Spenser,6,938
Cardinal,667,690
Blackbird,16,694
Carpenter,6780,119
New Castle,2797,892
Golf,078,646
Chinook,27,213
Sunnyside,3,456
Express,00534,974
Dexter,778,901
Katie,145,726
Swallow,8,96
Lukken,48,560
Monica,6,413
Ridge Oak,59420,387
Burning Wood,4,522
Lunder,7,467
Moose,10,490
Arrowood,969,301
Manufacturers,23,474
Red Cloud,4397,607
Lakewood Gardens,04425,440
Hauk,8536,746
Linden,2,758
Clarendon,3,809
Acker,34,591
Monica,7848,519
Emmet,4,847
Cardinal,3,234
Corscot,43607,440
Sullivan,00,864
Cambridge,559,335
Kennedy,54983,855
Orin,60,588
Southridge,7,768
South,29,720
Dakota,7,88
Northland,8201,607
Washington,8,958
Reinke,3,417
Green Ridge,75,141
Bashford,2,177
Merry,477,947
Memorial,0,603
Steensland,25,794
Green Ridge,7,457
3rd,407,303
Sachs,6298,28
Holy Cross,1980,825
Thackeray,68747,30
Mcbride,2973,124
Talmadge,1,926
Oakridge,97,500
Forest,87,741
Eastwood,6,802
Sage,4,378
Victoria,36308,226
Loomis,79,60
Mendota,574,885
Florence,0,284
Lillian,02425,58
Onsgard,1,954
Northview,896,178
Lakewood,63934,77
Meadow Vale,45127,878
Sommers,8337,679
Evergreen,370,478
Graedel,02517,253
Vera,1,271
East,5,524
Birchwood,9070,259
Algoma,9,440
Westridge,40,532
Mosinee,3,526
Elgar,263,632
Judy,878,983
Sachtjen,63,926
Bartelt,91,824
Pankratz,79238,842
Eastwood,3168,538
Westend,0093,304
Straubel,347,829
Pearson,536,796
High Crossing,329,591
Meadow Vale,861,329
Buena Vista,32058,238
Kropf,48315,536
Lillian,7351,662
Ridgeview,786,923
Golf View,5820,245
Havey,018,538
Division,42,922
Thompson,2,251
Lakeland,13931,726
Laurel,84,57
Arizona,07307,646
Mayfield,27033,47
Melrose,0421,729
Westerfield,4754,551
